customer_id,first_name,last_name,gender,date_of_birth,skill_level,home_city,signup_date
1,Tom,Meyer,F,1971-06-20,Intermediate,Berlin,2023-03-12
2,Emily,Becker,M,1975-03-22,Advanced,Leipzig,2023-02-07
3,Anna,Schmidt,M,2002-11-13,Intermediate,Berlin,2022-10-07
4,Marco,Koch,F,1987-05-30,Beginner,Berlin,2023-10-25
5,Tom,Fischer,M,1995-01-12,Beginner,Berlin,2022-01-19
6,Nina,Meyer,F,1987-04-28,Beginner,Berlin,2021-09-24
7,Jonas,Chen,M,1987-02-07,Intermediate,Berlin,2022-12-20
8,Tom,Fischer,M,1968-10-07,Beginner,Berlin,2021-08-06
9,Anna,Chen,F,1978-09-30,Intermediate,Berlin,2021-12-11
10,Marco,Koch,F,1976-04-19,Beginner,Berlin,2021-09-03
11,Emily,Klein,M,1980-08-18,Beginner,Potsdam,2021-03-17
12,Anna,Fischer,F,1996-12-07,Advanced,Potsdam,2023-06-26
13,Anna,Lopez,F,1979-11-17,Intermediate,Leipzig,2021-10-06
14,Jonas,Chen,M,1983-01-26,Beginner,Berlin,2022-06-02
15,Lena,Schmidt,F,1980-11-23,Intermediate,Berlin,2021-02-17
16,Marco,Lopez,M,1968-09-26,Beginner,Potsdam,2023-02-05
17,Sarah,Weber,M,1982-08-24,Intermediate,Berlin,2021-12-28
18,Anna,Weber,Other,1972-10-28,Intermediate,Berlin,2023-03-27
19,Lena,Meyer,M,1972-06-21,Beginner,Berlin,2022-03-28
20,Sarah,Klein,F,1968-10-05,Intermediate,Berlin,2021-08-03
21,Marco,Koch,F,1979-04-08,Intermediate,Berlin,2022-07-16
22,Alex,Fischer,M,1995-04-20,Intermediate,Berlin,2021-05-23
23,Nina,Rossi,F,1976-01-22,Beginner,Berlin,2022-04-28
24,Lena,Schmidt,F,1977-06-30,Beginner,Berlin,2021-12-14
25,Chris,Chen,M,1990-09-16,Advanced,Berlin,2023-09-26
26,Alex,Koch,F,1972-11-01,Beginner,Berlin,2021-03-08
27,Nina,Lopez,F,2000-11-17,Intermediate,Berlin,2023-01-30
28,Jonas,Weber,F,1985-10-22,Intermediate,Berlin,2021-07-20
29,Tom,Schmidt,F,1982-11-27,Intermediate,Berlin,2021-12-16
30,Emily,Rossi,M,1987-04-25,Beginner,Berlin,2022-03-31
31,Chris,Fischer,F,1971-08-23,Beginner,Berlin,2023-09-22
32,Jonas,Meyer,F,1989-07-16,Intermediate,Berlin,2021-09-23
33,Marco,Rossi,F,1979-07-11,Beginner,Berlin,2021-04-10
34,Jonas,Schmidt,F,2000-11-20,Beginner,Leipzig,2021-12-15
35,Tom,Rossi,F,1971-10-03,Beginner,Berlin,2021-04-25
36,Marco,Schmidt,F,1985-04-14,Beginner,Berlin,2021-05-21
37,Chris,Schmidt,F,1988-12-04,Advanced,Berlin,2022-09-21
38,Tom,Becker,F,1966-05-03,Beginner,Berlin,2021-03-08
39,Sarah,Chen,F,1979-07-20,Beginner,Berlin,2021-02-03
40,Emily,Weber,F,1994-04-22,Beginner,Berlin,2023-02-22
41,Chris,Becker,F,1997-10-25,Intermediate,Potsdam,2022-02-01
42,Sarah,Fischer,M,1977-07-12,Intermediate,Berlin,2021-05-18
43,Nina,Becker,M,1996-12-11,Beginner,Berlin,2021-10-05
44,Chris,Klein,M,2003-09-17,Intermediate,Berlin,2022-12-05
45,Nina,Klein,F,1999-04-11,Intermediate,Potsdam,2021-10-29
46,Marco,Weber,F,1969-09-15,Advanced,Berlin,2022-06-26
47,Sarah,Rossi,F,1994-08-04,Intermediate,Leipzig,2021-05-14
48,Emily,Chen,M,1977-10-15,Beginner,Berlin,2022-10-06
49,Tom,Weber,F,2004-07-15,Beginner,Leipzig,2021-12-13
50,Anna,Schmidt,M,1984-06-01,Beginner,Leipzig,2022-11-18
51,Jonas,Lopez,M,1969-11-24,Beginner,Berlin,2023-06-05
52,Alex,Chen,F,1994-01-03,Advanced,Berlin,2022-11-01
53,Emily,Chen,F,1977-12-03,Beginner,Berlin,2021-11-20
54,Sarah,Schmidt,M,2004-11-19,Beginner,Berlin,2021-10-08
55,Anna,Schmidt,M,2004-03-11,Intermediate,Potsdam,2021-12-25
56,Emily,Meyer,M,1991-04-01,Intermediate,Berlin,2021-06-30
57,Sarah,Weber,M,1970-03-12,Beginner,Berlin,2021-07-18
58,Lena,Schmidt,F,1992-06-23,Beginner,Berlin,2023-05-16
59,Lena,Klein,M,1968-09-21,Beginner,Leipzig,2022-02-26
60,Nina,Fischer,F,1966-03-06,Intermediate,Berlin,2022-04-23
61,Emily,Lopez,F,1997-12-02,Beginner,Berlin,2022-10-13
62,Lena,Weber,M,1973-05-23,Beginner,Berlin,2022-10-08
63,Sarah,Koch,M,1980-02-29,Intermediate,Leipzig,2021-03-15
64,Nina,Klein,M,2003-12-10,Beginner,Berlin,2023-06-30
65,Sarah,Rossi,M,1978-06-23,Intermediate,Berlin,2021-07-14
66,Nina,Schmidt,M,1976-11-10,Intermediate,Berlin,2023-03-03
67,Emily,Koch,F,2001-09-24,Beginner,Berlin,2023-04-27
68,Anna,Schmidt,M,1969-06-07,Advanced,Berlin,2023-02-22
69,Tom,Chen,Other,1995-05-21,Intermediate,Leipzig,2022-09-26
70,Chris,Klein,M,2004-07-10,Beginner,Potsdam,2021-01-16
71,Anna,Chen,F,2001-01-19,Intermediate,Berlin,2022-01-30
72,Marco,Meyer,F,1991-01-25,Intermediate,Potsdam,2022-10-25
73,Sarah,Chen,F,1977-07-25,Intermediate,Berlin,2022-03-01
74,Marco,Meyer,F,1975-03-05,Beginner,Potsdam,2023-08-04
75,Anna,Meyer,F,1997-10-09,Advanced,Potsdam,2021-12-05
76,Nina,Koch,F,2000-03-12,Beginner,Berlin,2021-11-18
77,Chris,Schmidt,F,1986-01-07,Beginner,Potsdam,2021-10-19
78,Chris,Rossi,F,1974-10-10,Beginner,Berlin,2021-12-31
79,Alex,Chen,M,1969-07-09,Beginner,Berlin,2022-09-03
80,Chris,Klein,M,1968-06-27,Intermediate,Berlin,2023-02-14
81,Tom,Meyer,F,1993-10-06,Beginner,Berlin,2022-12-27
82,Chris,Schmidt,F,1981-10-21,Beginner,Potsdam,2023-06-04
83,Anna,Lopez,F,2001-03-20,Advanced,Leipzig,2023-08-29
84,Alex,Weber,F,1994-08-03,Beginner,Berlin,2023-06-13
85,Anna,Koch,Other,1972-08-26,Beginner,Potsdam,2021-01-21
86,Anna,Rossi,M,1989-07-21,Beginner,Potsdam,2023-03-17
87,Jonas,Becker,M,1982-06-03,Beginner,Berlin,2021-08-17
88,Alex,Koch,M,1988-02-03,Beginner,Berlin,2021-05-26
89,Anna,Lopez,M,1994-07-11,Intermediate,Berlin,2022-12-01
90,Jonas,Weber,F,1997-04-01,Beginner,Berlin,2021-12-17
91,Jonas,Lopez,M,1998-10-02,Beginner,Leipzig,2021-03-04
92,Alex,Chen,F,1975-02-28,Intermediate,Berlin,2021-05-31
93,Marco,Meyer,M,1966-03-31,Intermediate,Potsdam,2021-01-02
94,Nina,Rossi,F,1994-07-29,Beginner,Berlin,2023-09-17
95,Tom,Fischer,F,1969-04-03,Intermediate,Berlin,2021-01-27
96,Nina,Meyer,M,1977-08-06,Beginner,Berlin,2021-08-18
97,Chris,Fischer,F,1965-02-25,Intermediate,Berlin,2022-04-01
98,Tom,Weber,M,1992-04-08,Intermediate,Berlin,2022-01-26
99,Chris,Schmidt,M,1971-09-08,Beginner,Berlin,2023-09-26
100,Anna,Becker,M,1991-03-19,Advanced,Berlin,2021-02-14
101,Sarah,Klein,M,2004-09-02,Beginner,Berlin,2022-07-15
102,Alex,Meyer,M,1967-11-28,Intermediate,Berlin,2023-01-16
103,Tom,Rossi,F,1968-02-01,Beginner,Potsdam,2023-10-18
104,Tom,Lopez,F,1978-08-13,Intermediate,Berlin,2022-11-11
105,Anna,Rossi,F,1999-08-28,Intermediate,Berlin,2023-05-31
106,Marco,Weber,M,1973-08-15,Intermediate,Berlin,2021-04-02
107,Jonas,Fischer,F,1979-06-02,Beginner,Berlin,2022-02-27
108,Anna,Lopez,M,1967-09-28,Intermediate,Leipzig,2022-02-14
109,Lena,Klein,M,1995-07-12,Intermediate,Berlin,2023-08-29
110,Jonas,Klein,F,1981-05-02,Intermediate,Berlin,2021-06-15
111,Alex,Meyer,M,1995-05-16,Intermediate,Potsdam,2021-06-16
112,Jonas,Weber,F,2001-02-22,Intermediate,Berlin,2021-12-26
113,Marco,Schmidt,F,1974-04-24,Beginner,Berlin,2021-03-01
114,Jonas,Weber,M,1997-04-19,Beginner,Berlin,2021-07-19
115,Alex,Fischer,M,1967-05-14,Intermediate,Berlin,2023-11-23
116,Marco,Rossi,M,2000-12-15,Beginner,Berlin,2022-04-14
117,Nina,Klein,F,1991-01-12,Advanced,Berlin,2022-11-24
118,Tom,Rossi,M,1999-12-21,Intermediate,Potsdam,2023-03-07
119,Tom,Rossi,M,1965-01-03,Advanced,Potsdam,2022-02-06
120,Chris,Rossi,M,1971-10-07,Beginner,Berlin,2021-06-11
121,Nina,Klein,F,1980-08-04,Advanced,Berlin,2021-08-15
